>758_3928 | Streptococcus sanguinis | HOT_758 | Strain_ATCC 10556 | GB_AF003928 | Named | G | 6
>812_8157 | Helicobacter pylori | HOT_812 | Strain_ATCC 43504 | GB_M88157 | Named | G | 1
>320AZ105 | Flavitalea sp. | HOT_320 | Clone_AZ105 | GB_AF385548 | Phylotype | X | 0
>338Capn8 | Capnocytophaga sp. | HOT_338 | Strain_FDC 8 | GB_U41352 | Unnamed | G | 4
>326F0382 | Capnocytophaga sp. | HOT_326 | Strain_F0382 | GB_tbd | Unnamed | G | 5
>509_3619 | Bacteroidetes [G-4] sp. | HOT_509 | Clone_MB2_P04 | GB_DQ003619 | Phylotype | X | 0
>899-Wade | Bacteroidetes [G-3] sp. | HOT_899 | Clone_BL234 | GB_JQ406536 | Phylotype | X | 0
>516_3623 | Bacteroidetes [G-6] sp. | HOT_516 | Clone_MB3_P19 | GB_DQ003623 | Phylotype | X | 2
>613_6495 | Tannerella forsythia | HOT_613 | Strain_FDC 338 | GB_L16495 | Named | G | 4
>619_3964 | Porphyromonas gingivalis | HOT_619 | Strain_DSM 20709 | GB_X73964 | Named | G | 5
>911-Wade | Bacteroidetes [G-7] sp. | HOT_911 | Clone_DL325 | GB_JQ406540 | Phylotype | X | 0
>272_X083 | Bacteroidaceae [G-1] sp. | HOT_272 | Clone__X083 | GB_AY005066 | Unnamed | G | 2
>304DA058 | Prevotella sp. | HOT_304 | Clone_DA058 | GB_AY005065 | Phylotype | X | 4
>562_6476 | Prevotella buccalis | HOT_562 | Strain_ATCC 35310 | GB_L16476 | Named | G | 0
>794_0414 | Prevotella multisaccharivorax | HOT_794 | Strain_JCM 12954 | GB_AB200414 | Named | G | 1
>556_6475 | Prevotella bivia | HOT_556 | Strain_ATCC 29303 | GB_L16475 | Named | G | 2
>307_8826 | Prevotella salivae | HOT_307 | Strain_DSM 15606 | GB_AB108826 | Named | G | 5
>714_3121 | Prevotella pallens | HOT_714 | Strain_JCM 11140 | GB_NR_113121 | Named | G | 5
>396_7050 | Prevotella sp. | HOT_396 | Clone_P4PB_83 | GB_AY207050 | Phylotype | X | 4
>885_3253 | Prevotella scopos | HOT_885 | Strain_JCM 17725 | GB_AB683253 | Named | G | 4
>298BE073 | Prevotella histicola | HOT_298 | Clone_BE073 | GB_AF385551 | Named | G | 6
