074-T4E3 | Streptococcus sp. | HOT_074 | Strain_T4-E3 | GB_AF385526 | Lost | X | 5
357W5455 | Pyramidobacter piscolens | HOT_357 | Strain_W5455 | GB_EU309492 | Named | G | 2
664_C021 | Treponema maltophilum | HOT_664 | Clone__C021 | GB_AF023038 | Named | G | 4
805_8726 | Treponema pallidum | HOT_805 | Strain_Nichols | GB_M88726 | Named | G | 0
584_1236 | Treponema denticola | HOT_584 | Strain_ATCC 33520 | GB_M71236 | Named | G | 5
667_3051 | Treponema medium | HOT_667 | Clone__C007 | GB_AF023051 | Named | G | 3
602_1240 | Slackia exigua | HOT_602 | Strain_ATCC 700122 | GB_AF101240 | Named | G | 3
809F0206 | Olsenella sp. | HOT_809 | Strain_F0206 | GB_EU592965 | Unnamed | G | 1
895_0136 | Bifidobacterium animalis subsp. lactis | HOT_895 | Strain_DSM 10140 | GB_AB050136 | Named | G | 0
191FMA5B | Propionibacterium acidifaciens | HOT_191 | Strain_FMA5 | GB_AF287756 | Named | G | 3
595F235b | Corynebacterium durum | HOT_595 | Strain_F0235b | GB_tbd | Named | G | 5
180H1083 | Actinomyces sp. | HOT_180 | Strain_Hal-1083 | GB_AF385522 | Unnamed | G | 5
893_5935 | Actinomyces oris | HOT_893 | Strain_JCM 16131 | GB_AB545935 | Named | G | 5
605_1630 | Desulfovibrio fairfieldensis | HOT_605 | Strain_DSM 12803 | GB_AJ251630 | Named | G | 0
747_5837 | Erythromicrobium ramosum | HOT_747 | Strain_DSM 8510 | GB_AF465837 | Named | X | 1
676_8582 | Proteus mirabilis | HOT_676 | Strain_ATCC 29906 | GB_AF008582 | Named | G | 0
279F450d | Porphyromonas sp. | HOT_279 | Strain_F0450d | GB_tbd | Unnamed | G | 6
572_4079 | Prevotella veroralis | HOT_572 | Clone_071062_262 | GB_JQ474079 | Named | G | 5
